iter	Passed	Remaining
414	2653	3739
415	2659	3733
416	2665	3726
417	2673	3721
418	2679	3714
419	2685	3708
420	2691	3701
421	2699	3697
422	2704	3689
423	2711	3683
424	2719	3678
425	2725	3672
426	2732	3666
427	2738	3660
428	2745	3654
429	2750	3646
430	2756	3639
431	2763	3634
432	2771	3628
433	2778	3623
434	2784	3616
435	2791	3610
436	2797	3603
437	2801	3594
438	2807	3587
439	2812	3579
440	2817	3570
441	2823	3564
442	2828	3555
443	2833	3548
444	2838	3540
445	2844	3533
446	2848	3524
447	2855	3517
448	2860	3509
449	2865	3501
450	2871	3495
451	2875	3486
452	2881	3479
453	2886	3471
454	2892	3464
455	2927	3491
456	2942	3496
457	2949	3490
458	2957	3485
459	2962	3477
460	2969	3472
461	2974	3464
462	2979	3455
463	2986	3449
464	2990	3441
465	2995	3432
466	3000	3425
467	3006	3417
468	3011	3409
469	3017	3403
470	3027	3399
471	3037	3397
472	3045	3392
473	3051	3386
474	3057	3379
475	3066	3375
476	3072	3369
477	3079	3363
478	3085	3355
479	3090	3347
480	3097	3341
481	3104	3335
482	3112	3331
483	3117	3323
484	3122	3315
485	3127	3308
486	3135	3302
487	3140	3295
488	3146	3288
489	3151	3279
490	3155	3271
491	3161	3264
492	3166	3256
493	3171	3248
494	3176	3240
495	3182	3233
496	3186	3225
497	3193	3219
498	3199	3211
499	3203	3203
500	3209	3196
501	3214	3188
502	3218	3180
503	3223	3172
504	3229	3165
505	3234	3157
506	3239	3150
507	3258	3155
508	3262	3147
509	3267	3139
510	3274	3133
511	3279	3125
512	3285	3118
513	3289	3110
514	3294	3102
515	3298	3094
516	3304	3087
517	3309	3079
518	3313	3071
519	3318	3062
520	3322	3054
521	3326	3046
522	3332	3039
523	3336	3030
524	3341	3022
525	3346	3015
526	3351	3008
527	3355	2999
528	3360	2991
529	3365	2984
530	3369	2976
531	3374	2968
532	3379	2960
533	3383	2952
534	3387	2944
535	3393	2937
536	3400	2931
537	3406	2925
538	3412	2918
539	3418	2912
540	3424	2905
541	3431	2899
542	3439	2894
543	3446	2888
544	3453	2883
545	3460	2877
546	3466	2870
547	3472	2863
548	3477	2856
549	3483	2849
550	3489	2843
551	3496	2837
552	3502	2831
553	3508	2824
554	3514	2817
555	3519	2810
556	3529	2807
557	3535	2800
558	3544	2795
559	3551	2790
560	3561	2787
561	3567	2780
562	3573	2773
563	3580	2767
564	3587	2761
565	3593	2755
566	3599	2749
567	3606	2742
568	3610	2735
569	3616	2727
570	3620	2720
571	3625	2712
572	3630	2705
573	3634	2697
574	3639	2689
575	3643	2682
576	3648	2674
577	3653	2667
578	3657	2659
579	3662	2652
580	3666	2644
581	3671	2636
582	3677	2630
583	3682	2622
584	3687	2615
585	3691	2608
586	3696	2600
587	3700	2592
588	3705	2585
589	3709	2577
590	3713	2570
591	3718	2562
592	3723	2555
593	3728	2548
594	3732	2540
595	3740	2535
596	3753	2534
597	3759	2527
598	3766	2521
599	3772	2514
600	3776	2507
601	3865	2555
602	3882	2555
603	3888	2549
604	3896	2543
605	3967	2579
606	3972	2571
607	3986	2570
608	4028	2586
609	4039	2582
610	4056	2582
611	4081	2587
612	4094	2584
613	4101	2578
614	4110	2572
615	4117	2566
616	4124	2560
617	4134	2555
618	4140	2548
619	4146	2541
620	4156	2536
621	4162	2529
622	4168	2522
623	4176	2516
624	4186	2511
625	4193	2505
626	4200	2499
627	4208	2492
628	4215	2486
629	4223	2480
630	4229	2473
631	4235	2466
632	4240	2458
633	4245	2450
634	4250	2443
635	4255	2435
636	4261	2428
637	4270	2422
638	4275	2415
639	4281	2408
640	4289	2402
641	4294	2394
642	4301	2388
643	4307	2381
644	4313	2374
645	4320	2367
646	4325	2360
647	4332	2353
648	4338	2346
649	4344	2339
650	4355	2334
651	4367	2331
652	4380	2327
653	4389	2322
654	4399	2317
655	4405	2310
656	4417	2306
657	4425	2300
658	4434	2294
659	4445	2290
660	4451	2283
661	4462	2278
662	4472	2273
663	4479	2266
664	4485	2259
665	4493	2253
666	4501	2247
667	4509	2241
668	4515	2233
669	4521	2226
670	4527	2219
671	4536	2214
672	4542	2207
673	4547	2199
674	4553	2192
675	4559	2185
676	4564	2177
677	4569	2170
678	4575	2163
679	4580	2155
680	4585	2148
681	4592	2141
682	4596	2133
683	4602	2126
684	4608	2119
685	4613	2111
686	4621	2105
687	4626	2098
688	4631	2090
689	4636	2083
690	4641	2075
691	4645	2067
692	4653	2061
693	4671	2059
694	4692	2059
695	4705	2055
696	4713	2048
697	4718	2041
698	4722	2033
699	4729	2026
700	4733	2019
701	4738	2011
702	4742	2003
703	4748	1996
704	4752	1988
705	4757	1981
706	4762	1973
707	4767	1966
708	4771	1958
709	4777	1951
710	4782	1943
711	4786	1936
712	4791	1928
713	4796	1921
714	4801	1913
715	4806	1906
716	4810	1898
717	4814	1891
718	4820	1884
719	4826	1876
720	4830	1869
721	4835	1861
722	4840	1854
723	4845	1847
724	4851	1840
725	4855	1832
726	4861	1825
727	4865	1817
728	4870	1810
729	4874	1803
730	4880	1795
731	4884	1788
732	4890	1781
733	4894	1773
734	4899	1766
735	4903	1758
736	4907	1751
737	4912	1744
738	4917	1736
739	4921	1729
740	5020	1754
741	5043	1753
742	5049	1746
743	5055	1739
744	5062	1732
745	5068	1725
746	5073	1718
747	5078	1710
748	5083	1703
749	5088	1696
750	5093	1688
751	5097	1681
752	5102	1673
753	5106	1666
754	5111	1658
755	5116	1651
756	5121	1643
757	5126	1636
758	5131	1629
759	5136	1622
760	5142	1614
761	5146	1607
762	5151	1600
763	5157	1593
764	5164	1586
765	5169	1579
766	5174	1571
767	5178	1564
768	5183	1557
769	5188	1549
770	5192	1542
771	5197	1534
772	5202	1527
773	5208	1520
774	5214	1513
775	5220	1506
776	5225	1499
777	5231	1492
778	5237	1485
779	5245	1479
780	5253	1473
781	5259	1466
782	5266	1459
783	5270	1452
784	5276	1445
785	5281	1437
786	5287	1431
787	5292	1423
788	5297	1416
789	5301	1409
790	5307	1402
791	5311	1394
792	5316	1387
793	5320	1380
794	5326	1373
795	5330	1366
796	5337	1359
797	5341	1352
798	5347	1345
799	5351	1337
800	5356	1330
801	5360	1323
802	5365	1316
803	5369	1309
804	5374	1301
805	5379	1294
806	5384	1287
807	5388	1280
808	5394	1273
809	5398	1266
810	5403	1259
811	5408	1252
812	5413	1245
813	5418	1238
814	5423	1230
815	5428	1223
816	5432	1216
817	5437	1209
818	5442	1202
819	5447	1195
820	5451	1188
821	5456	1181
822	5462	1174
823	5466	1167
824	5471	1160
825	5475	1153
826	5480	1146
827	5485	1139
828	5490	1132
829	5495	1125
830	5501	1118
831	5508	1112
832	5513	1105
833	5520	1098
834	5525	1091
835	5531	1085
836	5537	1078
837	5543	1071
838	5550	1065
839	5556	1058
840	5563	1051
841	5569	1045
842	5575	1038
843	5581	1031
844	5588	1025
845	5594	1018
846	5600	1011
847	5606	1004
848	5613	998
849	5618	991
850	5624	984
851	5631	978
852	5637	971
853	5645	965
854	5650	958
855	5656	951
856	5662	944
857	5666	937
858	5672	931
859	5676	924
860	5681	917
861	5685	910
862	5690	903
863	5695	896
864	5701	889
865	5705	882
866	5710	876
867	5715	869
868	5720	862
869	5724	855
870	5731	848
871	5735	841
872	5740	835
873	5745	828
874	5750	821
875	5754	814
876	5759	807
877	5764	800
878	5768	794
879	5774	787
880	5778	780
881	5783	773
882	5789	767
883	5794	760
884	5798	753
885	5803	746
886	5808	740
887	5813	733
888	5818	726
889	5823	719
890	5828	712
891	5832	706
892	5837	699
893	5841	692
894	5846	685
895	5852	679
896	5856	672
897	5861	665
898	5867	659
899	5872	652
900	5877	645
901	5881	639
902	5886	632
903	5890	625
904	5895	618
905	5899	612
906	5904	605
907	5909	598
908	5914	592
909	5919	585
910	5924	578
911	5928	572
912	5933	565
913	5939	558
914	5943	552
915	5948	545
916	5953	538
917	5957	532
918	5962	525
919	5968	519
920	5972	512
921	5977	505
922	5982	499
923	5986	492
924	5991	485
925	5996	479
926	6000	472
927	6005	465
928	6010	459
929	6084	457
930	6092	451
931	6098	444
932	6105	438
933	6111	431
934	6118	425
935	6124	418
936	6129	412
937	6135	405
938	6140	398
939	6146	392
940	6151	385
941	6157	379
942	6162	372
943	6168	365
944	6174	359
945	6181	352
946	6187	346
947	6193	339
948	6198	333
949	6204	326
950	6213	320
951	6218	313
952	6224	306
953	6229	300
954	6233	293
955	6238	287
956	6242	280
957	6247	273
958	6251	267
959	6256	260
960	6261	254
961	6265	247
962	6270	240
963	6275	234
964	6280	227
965	6287	221
966	6293	214
967	6300	208
968	6306	201
969	6312	195
970	6318	188
971	6323	182
972	6330	175
973	6335	169
974	6341	162
975	6346	156
976	6352	149
977	6358	143
978	6364	136
979	6370	130
980	6376	123
981	6382	116
982	6387	110
983	6393	103
984	6398	97
985	6404	90
986	6409	84
987	6416	77
988	6424	71
989	6430	64
990	6436	58
991	6441	51
992	6446	45
993	6452	38
994	6456	32
995	6461	25
996	6465	19
997	6471	12
998	6476	6
999	6480	0
